Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.128-192.168.137.129-8443-55906-6,192.168.137.128,8443,192.168.137.129,55906,6,15/03/2025 09:34:18 AM,312382,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,409.7547233835496,9.603626329301944,156191.0,220767.2223678144,312297.0,85.0,85.0,85.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.402417552867963,3.2012087764339814,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-47808-6,192.168.137.128,8443,192.168.137.129,47808,6,15/03/2025 09:34:18 AM,338499,3,1,128.0,0.0,88.0,0.0,42.66666666666667,44.06056437828882,0.0,0.0,0.0,0.0,378.13996496296886,11.816873905092775,112833.0,195346.75548111877,338400.0,14.0,99.0,49.5,50.20458146424488,85.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,32,8.862655428819583,2.9542184762731942,0.0,88.0,25.6,38.94611662284187,1516.7999999999995,0,0,0,0,1,0,0,0,0.0,32.0,42.66666666666666,0.0,0,0,0,0,0,0,3,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-57472-6,192.168.137.129,57472,192.168.137.128,8443,6,15/03/2025 09:34:15 AM,3981505,9,6,597.0,1379.0,517.0,0.0,66.33333333333333,171.058469536004,1246.0,0.0,229.83333333333331,500.3480455309751,496.2947428171006,3.767419606405116,284393.21428571426,921307.7703289434,3464499.0,12.0,3981473.0,497684.1250000001,1206278.3652157378,3464499.0,12.0,3981031.0,796206.2,1499880.1583588938,3464705.0,496.0,0,0,0,0,284,188,2.260451763843069,1.5069678425620463,0.0,1246.0,123.5,326.42855267270966,106555.6,0,0,1,0,0,0,0,0,0.0,131.73333333333332,66.33333333333333,229.83333333333331,0,0,0,0,0,0,9,597,6,1379,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55830-6,192.168.137.128,8443,192.168.137.129,55830,6,15/03/2025 09:34:18 AM,339544,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,376.9761798176378,8.835379214475886,169772.0,240081.1369891437,339535.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,5.89025280965059,2.945126404825295,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-56022-6,192.168.137.128,8443,192.168.137.129,56022,6,15/03/2025 09:34:18 AM,322986,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,396.3020068981318,9.288328286674965,161493.0,228378.5197605064,322981.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.19221885778331,3.096109428891655,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-56396-6,192.168.137.128,8443,192.168.137.129,56396,6,15/03/2025 09:34:18 AM,289761,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,441.74336781002273,10.353360183047409,144880.5,204815.60049102703,289707.0,54.0,54.0,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.902240122031605,3.4511200610158026,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-56144-6,192.168.137.128,8443,192.168.137.129,56144,6,15/03/2025 09:34:18 AM,312455,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,409.6589908946889,9.60138259909427,156227.5,220861.2675697122,312400.0,55.0,55.0,55.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.400921732729514,3.200460866364757,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-56416-6,192.168.137.128,8443,192.168.137.129,56416,6,15/03/2025 09:34:18 AM,278575,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,459.4812887014269,10.769092703939693,139287.5,196845.0928534923,278478.0,97.0,97.0,97.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,7.179395135959795,3.589697567979897,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-56030-6,192.168.137.128,8443,192.168.137.129,56030,6,15/03/2025 09:34:18 AM,328165,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,390.0476894245273,9.14174272088736,164082.5,231774.75363054537,327972.0,193.0,193.0,193.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,6.09449514725824,3.04724757362912,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-56872-6,192.168.137.128,8443,192.168.137.129,56872,6,15/03/2025 09:34:14 AM,4231632,7,10,1467.0,597.0,1246.0,0.0,209.57142857142856,459.8883404852592,517.0,0.0,59.7,162.63391063640108,487.7550788915482,4.017362568389689,264477.0,862857.1231948736,3464886.0,21.0,4096531.0,682755.1666666666,1376571.563120845,3465294.0,243.0,4231632.0,470181.3333333333,1134560.4302650653,3464886.0,204.0,0,0,0,0,232,316,1.6542081163957545,2.363154451993935,0.0,1246.0,114.66666666666666,308.0719931139092,94908.35294117648,0,0,0,0,1,0,0,0,1.0,121.41176470588236,209.57142857142856,59.7,0,0,0,0,0,0,7,1467,10,597,-1,524,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
